author,date,push,title,url
Silent,10/21,5,[問卦] 送包裹來結果正在做愛 會怎麼處理?,/bbs/Gossiping/M.1603250881.A.36B.html
ichch,10/21,2,Re: [問卦] GPS測的時速是不是100%準確?,/bbs/Gossiping/M.1603250910.A.4CF.html
tLuesuGi,10/21,9,[新聞] 控韓國瑜岳父砂石場污染地下水　立委籲列污染場址,/bbs/Gossiping/M.1603250919.A.F21.html
p2p8ppp,10/21,3,[問卦] 為什麼人類尿尿的顏色是藍色？,/bbs/Gossiping/M.1603250947.A.8BF.html
howard309,10/21,7,Fw: [問題] 請問大潭電廠有哪些便當店會接受外送,/bbs/Gossiping/M.1603250993.A.1CE.html
hateOnas,10/21,7,[公告] 八卦板主投票說不定就差你一票,/bbs/Gossiping/M.1603251054.A.879.html
kavalan1979,10/21,5,[問卦] 屏東高鐵為什麼不比照花東改快鐵就好？,/bbs/Gossiping/M.1603251127.A.CB1.html
mystage,10/21,9,Re: [新聞] 林佳龍說明宜蘭高鐵超前屏東高鐵 屏東人,/bbs/Gossiping/M.1603251142.A.38F.html
gk1329,10/21,7,Re: [新聞] 砸千萬買房後悔　網紅列十缺點被譙炸,/bbs/Gossiping/M.1603251178.A.2BB.html
e741000,10/21,7,[問卦] 美國印地安人有加分嗎,/bbs/Gossiping/M.1603251178.A.7AF.html
shinmoner,10/21,31,[新聞] 開放美豬牛｜家長團體批蔡政府「比中共還,/bbs/Gossiping/M.1603252483.A.DBF.html
ToHsiang,10/21,1,Re: [新聞] 立委籲「家屬說明會」納SOP！運安會拒絕,/bbs/Gossiping/M.1603252515.A.40A.html
cary4A240022,10/21,1,[問卦] 有多益840很屌的八卦嗎？,/bbs/Gossiping/M.1603252573.A.289.html
hyoerious,10/21,45,[新聞]亨特與未成年女童色情照 朱利安尼已報警,/bbs/Gossiping/M.1603252598.A.B5C.html
quester08,10/21,1,Re: [問卦] 教召懶人包？,/bbs/Gossiping/M.1603252598.A.7BA.html
LOLI5566,10/21,1,[問卦] 領口的存在感突然很強烈 怎辦,/bbs/Gossiping/M.1603252655.A.4F7.html
XArcherX,10/21,5,[問卦] Win10 20H2出了 還等啥？(づ・ω・)づ,/bbs/Gossiping/M.1603252764.A.695.html
Gazooli,10/21,3,[問卦] 賣屁股招牌怎寫,/bbs/Gossiping/M.1603252811.A.A36.html
sina1,10/21,6,Re: [問卦] 台灣跟美國買無人機是要幹嘛？,/bbs/Gossiping/M.1603252832.A.A49.html
smalltwo,10/21,3,Re: [問卦] 貝莉莓遭開價一次18萬 表示：瞧不起我？,/bbs/Gossiping/M.1603252895.A.34A.html
turbomons,10/21,6,[新聞] 在野提11案修法禁萊豬入校 教部：現行法,/bbs/Gossiping/M.1603252922.A.623.html
KittyDog,10/21,3,[問卦] 要怎樣才可以賺大錢,/bbs/Gossiping/M.1603249345.A.B45.html
VVizZ,10/21,24,Re: [問卦] 為什麼「這群人」還沒拆夥？,/bbs/Gossiping/M.1603249423.A.FEC.html
seabox,10/21,26,Re: [新聞] 內幕｜蔡英文８日就得知斐濟事件　因,/bbs/Gossiping/M.1603249523.A.995.html
minifat,10/21,16,[問卦] 面試公司開25K應該不錯了吧,/bbs/Gossiping/M.1603249544.A.4D6.html
poeta,10/21,3,[新聞] 與陳其邁合唱台東人 百歲人瑞笑開懷,/bbs/Gossiping/M.1603249571.A.94F.html
jimgene,10/21,2,Re: [新聞] 教召重規劃 國防部：退伍8年內未被召,/bbs/Gossiping/M.1603249669.A.F73.html
chaoannricar,10/21,12,[新聞] 川普聲稱看過拜登「來自地獄的筆電」:裡,/bbs/Gossiping/M.1603249681.A.D60.html
sodabing,10/21,27,[新聞] 「村長」遭粉絲控性侵、屁股有胎記 詹江,/bbs/Gossiping/M.1603249734.A.F95.html
wlo3176844,10/21,5,[問卦] 欸欸 洋腸那個影片 台女是不是有點醜,/bbs/Gossiping/M.1603249756.A.A38.html
hittler,10/21,8,[問卦] 還有人30歲還沒買塔位的嗎?,/bbs/Gossiping/M.1603249769.A.854.html
KZS,10/21,10,[問卦] 教召送pornhub會員你會報名嗎？,/bbs/Gossiping/M.1603249817.A.031.html
w510048,10/21,1,Re: [問卦] 讀碩士還是博士cp值比較高？,/bbs/Gossiping/M.1603249826.A.F87.html
Sugimoto5566,10/21,13,[新聞] 砸千萬買房後悔　網紅列十缺點被譙炸,/bbs/Gossiping/M.1603249848.A.415.html
qscgy4,10/21,4,[問卦] CCR/ㄈㄈ尺 算不算對台女的一種歧視?,/bbs/Gossiping/M.1603249857.A.9A0.html
minifat,10/21,13,[問卦] 公司通知面試要不要先問薪水阿,/bbs/Gossiping/M.1603251186.A.D87.html
TouchAgain,10/21,爆,Re: [新聞] 內幕｜蔡英文８日就得知斐濟事件　因這,/bbs/Gossiping/M.1603251221.A.C72.html
yoyo4nima,10/21,2,Re: [問卦] 南部炒麵沒有在炒吧,/bbs/Gossiping/M.1603251240.A.428.html
Jerome18,10/21,2,Re: [新聞] 年輕人反對徵兵「認為兩岸不會打才喊,/bbs/Gossiping/M.1603251426.A.908.html
fytnship,10/21,9,Re: [問卦] 40年房貸是不是在協助炒房,/bbs/Gossiping/M.1603251431.A.5FA.html
VVizZ,10/21,5,[問卦] 恕我直言，匪貓尿尿已經是貓廢片帝王了吧,/bbs/Gossiping/M.1603251448.A.04C.html
AssinsCreed,10/21,17,[問卦] 上班開會到一半被中國同事偷宣傳一中怎解,/bbs/Gossiping/M.1603251573.A.6ED.html
kuma525566,10/21,22,[問卦] 明天車子要鍍膜 該注意什麼?,/bbs/Gossiping/M.1603251590.A.655.html
nonpolar,10/21,13,[問卦] 台灣跟美國買無人機是要幹嘛？,/bbs/Gossiping/M.1603251626.A.9BC.html
wahaha99,10/21,18,Re: [問卦] 什麼樣的人 會把罪犯歸咎是社會的責任?,/bbs/Gossiping/M.1603251705.A.4FA.html
XDDDpupu5566,10/21,5,[問卦] 高鐵為什麼不到淡水？,/bbs/Gossiping/M.1603251741.A.8B7.html
l40112,10/21,5,[新聞] 韓大廠舒適毯飄塑味!塑化劑竟超標「近400,/bbs/Gossiping/M.1603251757.A.E65.html
botnet,10/21,13,[新聞] 新竹貢丸比其他縣市的好吃？網曝真相：,/bbs/Gossiping/M.1603251798.A.63B.html
asd81359,10/21,8,Re: [問卦] 囤房稅其實沒用？,/bbs/Gossiping/M.1603248665.A.5CE.html
vi000246,10/21,4,[問卦] 沒有殺人意圖就是過失致死嗎,/bbs/Gossiping/M.1603248684.A.899.html
mmind1,10/21,4,[問卦]  為什麼熊研不會被廢社？,/bbs/Gossiping/M.1603248689.A.9AF.html
nogood,10/21,19,[問卦] 高鐵如果拉到墾丁，住宿業會死光嗎？,/bbs/Gossiping/M.1603248704.A.1D5.html
NewEG,10/21,7,[問卦] 大家都吃168早餐店會倒光嗎？,/bbs/Gossiping/M.1603248729.A.E01.html
bebehome,10/21,51,Re: [新聞] 國防部：教召14天「加薪1.5倍」　增就醫,/bbs/Gossiping/M.1603248806.A.4C4.html
floatcoffee,10/21,9,[問卦] 為什麼「這群人」還沒拆夥？,/bbs/Gossiping/M.1603248884.A.9DC.html
iga38149,10/21,5,[問卦] 為什麼SOS團不會被廢社?,/bbs/Gossiping/M.1603248949.A.0A2.html
Alertme,10/21,1,Re: [新聞] 侯市府黑名單不分藍綠 韓國瑜人馬遭暗算,/bbs/Gossiping/M.1603249086.A.84F.html
blue999,10/21,3,[問卦] 住二樓以上， 怎麼攔截郵差的信?,/bbs/Gossiping/M.1603249098.A.B2E.html
s48692003,10/21,38,[新聞] 被爆摩鐵硬上女粉絲 「村長」澄清提告：,/bbs/Gossiping/M.1603249145.A.FA3.html
akonak235,10/21,11,[爆卦] 摑掌前文化部長鄭麗君藝人鄭惠中:她是畜,/bbs/Gossiping/M.1603249200.A.9ED.html
ultrareg,10/21,8,[問卦] 在淡水要吃啥,/bbs/Gossiping/M.1603249313.A.26F.html
Autumnleaf,10/21,19,[問卦] 讀碩士還是博士cp值比較高？,/bbs/Gossiping/M.1603249335.A.028.html
a2334436,10/21,1,[問卦] 美國窮人吃速食過肥 吸毒比例又高 是不,/bbs/Gossiping/M.1603248061.A.289.html
mikemagic88,10/21,32,[問卦] 家裡飲用水哪來的？,/bbs/Gossiping/M.1603248094.A.BF0.html
suntw,10/21,5,[新聞] 中經院上修今明年經濟成長,/bbs/Gossiping/M.1603248192.A.97C.html
tiger911,10/21,5,[新聞] 長榮經營權之爭 長子張國華人馬出招獲勝,/bbs/Gossiping/M.1603248231.A.ADA.html
jwph,10/21,5,Re: [新聞] 全台雨量少水庫缺水 南水局祕密武器「3Q,/bbs/Gossiping/M.1603248268.A.F10.html
zakijudelo,10/21,7,[新聞] 整家族都染紅？拜登女婿做慈善 又爆利益,/bbs/Gossiping/M.1603248333.A.8B9.html
venusbetty,10/21,90,[新聞] 1個月刷8萬解鎖妹子私密影片 宅男怕被罵,/bbs/Gossiping/M.1603248346.A.166.html
yoyodiy,10/21,17,Re: [問卦] 家裡飲用水哪來的？,/bbs/Gossiping/M.1603248424.A.8F6.html
cutbear123,10/21,1,Re: [新聞] 精神科醫師：萊克多巴胺毒性是搖頭丸250,/bbs/Gossiping/M.1603248439.A.688.html
papapapapapa,10/21,14,[問卦] 阿姨我不想努力了 要具備什麼條件,/bbs/Gossiping/M.1603248514.A.7B4.html
patrick5028,10/21,2,Re: [新聞] 林佳龍說明宜蘭高鐵超前屏東高鐵 屏東人,/bbs/Gossiping/M.1603248561.A.C23.html
canon17,10/21,5,[新聞] 「事情就妳想的那樣」　魔術師約女業務,/bbs/Gossiping/M.1603248574.A.1B7.html
togs,10/21,4,[問卦] 收到中華電信最後繳費通知,/bbs/Gossiping/M.1603248644.A.426.html
kenny1300175,10/21,36,[新聞] 4個月軍事訓練「役期延長」?國防部硬起來：後續將研議,/bbs/Gossiping/M.1603249870.A.6DC.html
kenbo,10/21,XX,[新聞] 殺人無罪／陳柏惟：在理想的未來裡，罪犯,/bbs/Gossiping/M.1603249883.A.395.html
Townshend,10/21,8,[問卦] GPS測的時速是不是100%準確?,/bbs/Gossiping/M.1603249914.A.365.html
key000130,10/21,爆,[新聞] 快訊／大同確定變天！市場派拿下7席董事,/bbs/Gossiping/M.1603249924.A.4FD.html
Jerome18,10/21,3,[問卦] 城鎮戰鬥訓練？,/bbs/Gossiping/M.1603250012.A.692.html
gerychen,10/21,5,[問卦] 在你的床墊下擺豆子你會發現嗎？,/bbs/Gossiping/M.1603250033.A.EA7.html
bear26,10/21,2,[問卦] 台灣的胡椒餅創始是老張吧？,/bbs/Gossiping/M.1603250047.A.820.html
hyoerious,10/21,18,[問卦]年代電視台三次違規就被撤照，那中天呢？,/bbs/Gossiping/M.1603250070.A.F9B.html
indoman,10/21,11,[問卦] 40年房貸是不是在協助炒房,/bbs/Gossiping/M.1603250132.A.4FA.html
whitefox,10/21,19,[新聞] 美海軍F-18載彈墜毀南加州 引發野火,/bbs/Gossiping/M.1603250146.A.80A.html
Usayhiisayha,10/21,2,[問卦] 台北為什麼沒有丹丹？,/bbs/Gossiping/M.1603250166.A.BD5.html
CavendishJr,10/21,爆,[新聞] 紐時選前爆料 挖出川普中資銀行秘密帳戶,/bbs/Gossiping/M.1603250255.A.941.html
KAIL1984,10/21,2,Re: [問卦] 囤房稅其實沒用？,/bbs/Gossiping/M.1603250297.A.B82.html
autokey,10/21,7,[問卦] 根據對方職業是否交朋友是何心態的八卦?,/bbs/Gossiping/M.1603247621.A.751.html
id520,10/21,49,[新聞] 教召重規劃 國防部：退伍8年內未被召訓,/bbs/Gossiping/M.1603247686.A.9DC.html
simoncha,10/21,X1,[問卦] 常發愛莉莎莎文恐會....,/bbs/Gossiping/M.1603247690.A.F99.html
sincsnow,10/21,8,[新聞] 後備指揮部改隸陸軍司令部 4月役男加強,/bbs/Gossiping/M.1603247695.A.42D.html
kusowan,10/21,1,Re: [新聞] 林佳龍說明宜蘭高鐵超前屏東高鐵 屏東人,/bbs/Gossiping/M.1603247711.A.E37.html
kopuck,10/21,9,[問卦] 名字有彤的是不是都超正,/bbs/Gossiping/M.1603247758.A.132.html
hoanbeh,10/21,99,Re: [新聞] 內幕｜蔡英文８日就得知斐濟事件　因這,/bbs/Gossiping/M.1603247802.A.BCF.html
VVizZ,10/21,6,[問卦] 平心而論，其實潘鋼琴類的影片蠻無聊的吧,/bbs/Gossiping/M.1603247883.A.56B.html
yokoogawa,10/21,26,[問卦] 為什麼看到一堆要轉讓World Gym會員？,/bbs/Gossiping/M.1603247894.A.934.html
bebehome,10/21,7,Re: [新聞] 陸方撤告 外交部：斐濟承諾派員協助我外,/bbs/Gossiping/M.1603247902.A.EDD.html
Kimmy,10/21,16,[問卦] 如果你提早看到老婆老時照片還會想結婚嗎,/bbs/Gossiping/M.1603247909.A.9CD.html
syearth,10/21,45,[問卦] 什麼樣的人 會把罪犯歸咎是社會的責任?,/bbs/Gossiping/M.1603250315.A.419.html
Haihu,10/21,3,Re: [新聞] 8年沒被教召就成功「登出」？　國防部硬,/bbs/Gossiping/M.1603250514.A.25F.html
sean0527,10/21,6,[問卦] 肥宅幫妹子送早餐 妹子臉很臭 五掛某?,/bbs/Gossiping/M.1603250519.A.9C4.html
cosmite,10/21,1,[問卦] 客家人 會怎麼選擇家用網路 ?,/bbs/Gossiping/M.1603250530.A.63A.html
paulabxz123,10/21,4,[問卦] 延長役期真的可以增強國軍戰力嗎,/bbs/Gossiping/M.1603247926.A.81F.html
kivan00,10/21,5,[新聞] 8年沒被教召就成功「登出」？　國防部硬,/bbs/Gossiping/M.1603246689.A.424.html
tml7415,10/21,4,Re: [新聞] 響應韓國瑜！五虎將吹響號角：26日號召,/bbs/Gossiping/M.1603246725.A.808.html
Kulapica,10/21,1,Re: [新聞] 石門水庫全灌溉用水全停 戰備水井將啟用,/bbs/Gossiping/M.1603246732.A.EC8.html
tommy910174,10/21,42,[新聞] 陸方撤告 外交部：斐濟承諾派員協助我外,/bbs/Gossiping/M.1603246753.A.90B.html
tools,10/21,22,[問卦] 南部炒麵沒有在炒吧,/bbs/Gossiping/M.1603246789.A.AB6.html
OlaOlaOlaOla,10/21,20,[問卦] 有沒有周遭香港人變多的八卦？,/bbs/Gossiping/M.1603246800.A.D90.html
DreamYeh,10/21,10,Re: [新聞] 60年最慘！六合夜市爆50攤歇業止血 業者,/bbs/Gossiping/M.1603246912.A.A5B.html
ptt987654321,10/21,5,Re: [問卦] 上傳台女性愛影片的洋男 大學畢不了業,/bbs/Gossiping/M.1603247039.A.C42.html
fasty,10/21,5,Re: [問卦] 有沒有企鵝妹騎車闖紅燈被圖奇ban的八卦,/bbs/Gossiping/M.1603247080.A.E4B.html
mono5566,10/21,9,Re: [問卦] MO PTT是不是不想做了,/bbs/Gossiping/M.1603247136.A.664.html
wayne62,10/21,2,Re: [新聞] 台東某國中爆「男男性霸凌」 學弟畫圖揭,/bbs/Gossiping/M.1603247267.A.4B7.html
tetani,10/21,4,Re: [問卦] 上傳台女性愛影片的洋男 大學畢不了業,/bbs/Gossiping/M.1603247299.A.3D1.html
Kurisu,10/21,74,R: 精神科醫師：萊克多巴胺毒性是搖頭丸250,/bbs/Gossiping/M.1603247343.A.4F3.html
chungrew,10/21,10,[問卦] 完全無法理解為何有人對幼女有性慾？,/bbs/Gossiping/M.1603247361.A.A7E.html
richshen,10/21,1,Re: [新聞] 2049統一台灣？中國發展「滲透網」美軍,/bbs/Gossiping/M.1603247382.A.0E8.html
davidwales,10/21,8,[問卦] 有人想過航空業和觀光業會有這樣一天?,/bbs/Gossiping/M.1603247464.A.CF8.html
sgzt,10/21,65,[新聞] 日本金融廳擬對東京證交所實施入內檢查,/bbs/Gossiping/M.1603247540.A.0DB.html
HWSA0824,10/21,4,[問卦] 菲律賓減肥法？,/bbs/Gossiping/M.1603246246.A.250.html
blessbless,10/21,2,Re: [新聞] 越掙扎鎖越緊！保母悶壓幼童19分鐘 家屬盼殺人罪,/bbs/Gossiping/M.1603246251.A.D25.html
WaWa3,10/21,18,[問卦] 認真問，老婆餅和太陽餅差在哪兒？,/bbs/Gossiping/M.1603246363.A.1C2.html
VVizZ,10/21,1,Re: [新聞] 精神科醫師：萊克多巴胺毒性是搖頭丸250,/bbs/Gossiping/M.1603246378.A.2FE.html
vickyshan,10/21,1,Re: [新聞] 女粉絲「怕韓國瑜落選」被詹江村硬上未,/bbs/Gossiping/M.1603246414.A.719.html
spencer2567,10/21,2,[問卦] 有沒有上了年紀耳幹的八卦？,/bbs/Gossiping/M.1603246489.A.8B5.html
joy830,10/21,8,[問卦] MO PTT是不是不想做了,/bbs/Gossiping/M.1603246515.A.01C.html
hyoerious,10/21,11,Re: [新聞] 精神科醫師：萊克多巴胺毒性是搖頭丸250,/bbs/Gossiping/M.1603246515.A.FBE.html
kevin19528,10/21,13,[問卦] 敢用飯店的毛巾嗎,/bbs/Gossiping/M.1603246515.A.67B.html
jeff0025,10/21,5,[問卦] 老外包莖算不算是稀有種?,/bbs/Gossiping/M.1603246531.A.4B4.html
GGINDOWBOW,10/21,4,[問卦] 嗆辣同學慶生前一天被打然後選擇隱忍？,/bbs/Gossiping/M.1603246539.A.1DB.html
ru04ul4,10/21,6,[問卦] 拍流星雨一直被蟲擋住怎麼辦,/bbs/Gossiping/M.1603246647.A.93E.html
oftisa,10/21,1,[問卦] 台灣收購Twitter成為社群網站龍頭,/bbs/Gossiping/M.1603246672.A.A7F.html
mhmh8588kk,10/21,1,[問卦] 國產牛到北京算什麼,/bbs/Gossiping/M.1603246672.A.719.html
anti87,10/21,6,[新聞] 年輕人反對徵兵「認為兩岸不會打才喊願上,/bbs/Gossiping/M.1603246689.A.E36.html
chengcti,10/21,1,Re: [新聞] 4個月役男注意！國防部宣布：加入「城鎮,/bbs/Gossiping/M.1603245505.A.AAD.html
kavalan1979,10/21,6,[問卦] 歐美電影的亞洲城市，為何都以香港居多？,/bbs/Gossiping/M.1603245613.A.88F.html
Rrrxddd,10/21,6,Re: [新聞] 韓國瑜一發文就7萬人按讚 「國民黨大,/bbs/Gossiping/M.1603245746.A.668.html
ergostepo,10/21,45,[問卦] 上傳台女性愛影片的洋男 大學畢不了業,/bbs/Gossiping/M.1603245817.A.B6B.html
yoyodiy,10/21,2,[問卦] 怎樣才能升級成顧問公司顧問?,/bbs/Gossiping/M.1603245817.A.3BD.html
Sinreigensou,10/21,3,Re: [新聞] 精神科醫師：萊克多巴胺毒性是搖頭丸250,/bbs/Gossiping/M.1603245856.A.918.html
chungrew,10/21,12,Re: [新聞] 內幕｜蔡英文８日就得知斐濟事件　因這,/bbs/Gossiping/M.1603245869.A.321.html
bluebluelan,10/21,8,[問卦] 城鎮戰鬥訓練能練些什麼?,/bbs/Gossiping/M.1603245878.A.8BA.html
system303179,10/21,1,[新聞] 台南安平區舊魚市場加油站旁驚見浮屍,/bbs/Gossiping/M.1603245906.A.7A6.html
Landtoss,10/21,2,[問卦] 有沒有我婆飛鳥的八卦,/bbs/Gossiping/M.1603245936.A.82B.html
eric19990726,10/21,6,[問卦] 歐美可以有紅燈區台灣可以跟進嗎,/bbs/Gossiping/M.1603245952.A.913.html
johanLarson,10/21,3,[問卦] 有磨穴這項技藝的八卦嗎,/bbs/Gossiping/M.1603246056.A.CFC.html
tml7415,10/21,4,Re: [新聞] 精神科醫師：萊克多巴胺毒性是搖頭丸250,/bbs/Gossiping/M.1603246091.A.01D.html
jojoway,10/21,13,Re: [新聞] 內幕｜蔡英文８日就得知斐濟事件　因這,/bbs/Gossiping/M.1603246182.A.E0E.html
s0930194,10/21,5,Re: [新聞] 內幕｜蔡英文８日就得知斐濟事件　因這,/bbs/Gossiping/M.1603246194.A.B38.html
cimo764,10/21,9,[新聞] 響應韓國瑜！五虎將吹響號角：26日號召,/bbs/Gossiping/M.1603246222.A.B8E.html
tw689,10/21,81,[新聞] 男高中生失控襲兩粒 解聘女老師：寫10遍,/bbs/Gossiping/M.1603246225.A.F9F.html
eierom,10/21,3,Re: [新聞] 中國年輕人屢傳拒服兵役　分析：戰爭風險,/bbs/Gossiping/M.1603244670.A.0FC.html
donation12,10/21,6,Re: [問卦] 老k牌 席夢思 誰是床墊霸主,/bbs/Gossiping/M.1603244682.A.BD0.html
VVizZ,10/21,13,Re: [問卦] 如果想生小孩 男生最好在幾歲前就生?,/bbs/Gossiping/M.1603244710.A.900.html
dean1990,10/21,3,[問卦] 打漆彈能不能折抵役期或教召？,/bbs/Gossiping/M.1603244798.A.703.html
havochuman,10/21,3,Re: [新聞] 國泰航空大裁員　完整聲明出爐：已採取一,/bbs/Gossiping/M.1603245045.A.D2C.html
sck921,10/21,18,Re: [問卦] 南投田姓警察兒子強姦弱勢被壓下來了嗎？,/bbs/Gossiping/M.1603245047.A.2E8.html
Aloee,10/21,2,[問卦] 怎麼讓女同事知道我真的很會射,/bbs/Gossiping/M.1603245062.A.32F.html
d841129,10/21,2,[問卦] 鬼滅之刃有機會打破台灣票房紀錄嗎?,/bbs/Gossiping/M.1603245062.A.207.html
sodistrues,10/21,4,Re: [新聞] 洋男友愛拍性愛片 台女分手後慘成全球知,/bbs/Gossiping/M.1603245196.A.264.html
sdtgfsrt,10/21,4,[問卦] 為什麼彩虹在西洽版被holo屌打那麼多,/bbs/Gossiping/M.1603245206.A.7AD.html
ak904,10/21,35,[新聞] 韓國瑜一發文就7萬人按讚 「國民黨大咖」,/bbs/Gossiping/M.1603245236.A.B90.html
say29217074,10/21,15,[問卦] 玉山金要跌到什麼時候拉,/bbs/Gossiping/M.1603245289.A.E74.html
ianlin1216,10/21,3,Re: [新聞] 加拿大男與台女分手 性愛片Po全球最大色,/bbs/Gossiping/M.1603245307.A.CB2.html
Aqqqa,10/21,39,[新聞] 不錄了！川普專訪突然喊卡 推文砲轟主持,/bbs/Gossiping/M.1603245352.A.DD4.html
westdoorcard,10/21,99,[新聞] 精神科醫師：萊克多巴胺毒性是搖頭丸250,/bbs/Gossiping/M.1603245391.A.5B9.html
XXXXHAY,10/21,4,[問卦] 你各位屁眼塞過最大的東西是什麼,/bbs/Gossiping/M.1603245484.A.1DD.html
uwobu,10/21,33,[新聞] 陪睡價目表瘋傳！大奶網紅驚爆「一次18萬,/bbs/Gossiping/M.1603243994.A.1C7.html
BleedWang,10/21,1,Re: [問卦] 偽君子民主黨跟商人共和黨，信誰？,/bbs/Gossiping/M.1603244001.A.03E.html
star07,10/21,2,[問卦] 賴清德是支持統一的嗎？,/bbs/Gossiping/M.1603244015.A.055.html
VladeDivac,10/21,2,[新聞] T妹打臉「7成網美都在賣淫」 怒嗆：總比,/bbs/Gossiping/M.1603244022.A.B33.html
